Record Index,Status,JumpTo,Cycle,Step,Cur(mA),Voltage(V),CapaCity(mAh),Energy(mWh),Relative Time(h:min:s.ms),Absolute Time
1,Rest,1,1,1,0.00,3.5900,0.00,0.00,0:00:00.000,2019-11-15 19:28:43
2,Rest,1,1,1,0.00,3.5900,0.00,0.00,0:00:01.000,2019-11-15 19:28:44
3,Rest,1,1,1,0.00,3.5900,0.00,0.00,0:00:02.000,2019-11-15 19:28:45
4,Rest,1,1,1,0.00,3.5900,0.00,0.00,0:00:03.000,2019-11-15 19:28:46
5,Rest,1,1,1,0.00,3.5900,0.00,0.00,0:00:04.000,2019-11-15 19:28:47
6,Rest,1,1,1,0.00,3.5900,0.00,0.00,0:00:05.000,2019-11-15 19:28:48
7,CCCV_DChg,2,1,2,-900.600,3.5627,0.000,0.000,0:00:00.000,2019-11-15 19:28:49
8,CCCV_DChg,2,1,2,-900.600,3.5627,0.025,0.089,0:00:00.100,2019-11-15 19:28:49
9,CCCV_Chg,3,2,3,0.000,3.5894,0.000,0.000,0:00:00.000,2019-11-15 19:28:49
10,CCCV_Chg,3,2,3,0.000,3.5894,0.000,0.000,0:00:00.100,2019-11-15 19:28:49
11,Rest,4,2,4,0.00,3.5897,0.00,0.00,0:00:00.000,2019-11-15 19:28:49
12,Rest,4,2,4,0.00,3.5897,0.00,0.00,0:00:01.000,2019-11-15 19:28:50
13,Rest,4,2,4,0.00,3.5897,0.00,0.00,0:00:02.000,2019-11-15 19:28:51
14,Rest,4,2,4,0.00,3.5900,0.00,0.00,0:00:03.000,2019-11-15 19:28:52
15,Rest,4,2,4,0.00,3.5897,0.00,0.00,0:00:04.000,2019-11-15 19:28:53
16,Rest,4,2,4,0.00,3.5900,0.00,0.00,0:00:05.000,2019-11-15 19:28:54
17,Rest,4,2,4,0.00,3.5900,0.00,0.00,0:00:06.000,2019-11-15 19:28:55
18,Rest,4,2,4,0.00,3.5897,0.00,0.00,0:00:07.000,2019-11-15 19:28:56
19,Rest,4,2,4,0.00,3.5897,0.00,0.00,0:00:08.000,2019-11-15 19:28:57
20,Rest,4,2,4,0.00,3.5900,0.00,0.00,0:00:09.000,2019-11-15 19:28:58
21,Rest,4,2,4,0.00,3.5900,0.00,0.00,0:00:10.000,2019-11-15 19:28:59
22,Rest,4,2,4,0.00,3.5900,0.00,0.00,0:00:11.000,2019-11-15 19:29:00
23,Rest,4,2,4,0.00,3.5897,0.00,0.00,0:00:12.000,2019-11-15 19:29:01
24,Rest,4,2,4,0.00,3.5900,0.00,0.00,0:00:13.000,2019-11-15 19:29:02
25,Rest,4,2,4,0.00,3.5900,0.00,0.00,0:00:14.000,2019-11-15 19:29:03
26,Rest,4,2,4,0.00,3.5900,0.00,0.00,0:00:15.000,2019-11-15 19:29:04
27,Rest,4,2,4,0.00,3.5897,0.00,0.00,0:00:16.000,2019-11-15 19:29:05
28,Rest,4,2,4,0.00,3.5900,0.00,0.00,0:00:17.000,2019-11-15 19:29:06
29,Rest,4,2,4,0.00,3.5900,0.00,0.00,0:00:18.000,2019-11-15 19:29:07
30,Rest,4,2,4,0.00,3.5897,0.00,0.00,0:00:19.000,2019-11-15 19:29:08
31,Rest,4,2,4,0.00,3.5900,0.00,0.00,0:00:20.000,2019-11-15 19:29:09
32,Rest,4,2,4,0.00,3.5900,0.00,0.00,0:00:21.000,2019-11-15 19:29:10
33,Rest,4,2,4,0.00,3.5900,0.00,0.00,0:00:22.000,2019-11-15 19:29:11
34,Rest,4,2,4,0.00,3.5900,0.00,0.00,0:00:23.000,2019-11-15 19:29:12
35,Rest,4,2,4,0.00,3.5900,0.00,0.00,0:00:24.000,2019-11-15 19:29:13
36,Rest,4,2,4,0.00,3.5900,0.00,0.00,0:00:25.000,2019-11-15 19:29:14
37,Rest,4,2,4,0.00,3.5900,0.00,0.00,0:00:26.000,2019-11-15 19:29:15
38,Rest,4,2,4,0.00,3.5900,0.00,0.00,0:00:27.000,2019-11-15 19:29:16
39,Rest,4,2,4,0.00,3.5900,0.00,0.00,0:00:28.000,2019-11-15 19:29:17
40,Rest,4,2,4,0.00,3.5900,0.00,0.00,0:00:29.000,2019-11-15 19:29:18
41,Rest,4,2,4,0.00,3.5900,0.00,0.00,0:00:30.000,2019-11-15 19:29:19
42,Rest,4,2,4,0.00,3.5900,0.00,0.00,0:00:31.000,2019-11-15 19:29:20
43,Rest,4,2,4,0.00,3.5900,0.00,0.00,0:00:32.000,2019-11-15 19:29:21
44,Rest,4,2,4,0.00,3.5900,0.00,0.00,0:00:33.000,2019-11-15 19:29:22
45,Rest,4,2,4,0.00,3.5900,0.00,0.00,0:00:34.000,2019-11-15 19:29:23
46,Rest,4,2,4,0.00,3.5900,0.00,0.00,0:00:35.000,2019-11-15 19:29:24
47,Rest,4,2,4,0.00,3.5900,0.00,0.00,0:00:36.000,2019-11-15 19:29:25
48,Rest,4,2,4,0.00,3.5900,0.00,0.00,0:00:37.000,2019-11-15 19:29:26
49,Rest,4,2,4,0.00,3.5900,0.00,0.00,0:00:38.000,2019-11-15 19:29:27
50,Rest,4,2,4,0.00,3.5900,0.00,0.00,0:00:39.000,2019-11-15 19:29:28
51,Rest,4,2,4,0.00,3.5900,0.00,0.00,0:00:40.000,2019-11-15 19:29:29
52,Rest,4,2,4,0.00,3.5900,0.00,0.00,0:00:41.000,2019-11-15 19:29:30
53,Rest,4,2,4,0.00,3.5900,0.00,0.00,0:00:42.000,2019-11-15 19:29:31
54,Rest,4,2,4,0.00,3.5900,0.00,0.00,0:00:43.000,2019-11-15 19:29:32
55,Rest,4,2,4,0.00,3.5900,0.00,0.00,0:00:44.000,2019-11-15 19:29:33
56,Rest,4,2,4,0.00,3.5900,0.00,0.00,0:00:45.000,2019-11-15 19:29:34
57,Rest,4,2,4,0.00,3.5900,0.00,0.00,0:00:46.000,2019-11-15 19:29:35
58,Rest,4,2,4,0.00,3.5900,0.00,0.00,0:00:47.000,2019-11-15 19:29:36
59,Rest,4,2,4,0.00,3.5900,0.00,0.00,0:00:48.000,2019-11-15 19:29:37
60,Rest,4,2,4,0.00,3.5900,0.00,0.00,0:00:49.000,2019-11-15 19:29:38
61,Rest,4,2,4,0.00,3.5900,0.00,0.00,0:00:50.000,2019-11-15 19:29:39
62,Rest,4,2,4,0.00,3.5900,0.00,0.00,0:00:51.000,2019-11-15 19:29:40
63,Rest,4,2,4,0.00,3.5900,0.00,0.00,0:00:52.000,2019-11-15 19:29:41
64,Rest,4,2,4,0.00,3.5900,0.00,0.00,0:00:53.000,2019-11-15 19:29:42
65,Rest,4,2,4,0.00,3.5900,0.00,0.00,0:00:54.000,2019-11-15 19:29:43
66,Rest,4,2,4,0.00,3.5900,0.00,0.00,0:00:55.000,2019-11-15 19:29:44
67,Rest,4,2,4,0.00,3.5900,0.00,0.00,0:00:56.000,2019-11-15 19:29:45
68,Rest,4,2,4,0.00,3.5900,0.00,0.00,0:00:57.000,2019-11-15 19:29:46
69,Rest,4,2,4,0.00,3.5900,0.00,0.00,0:00:58.000,2019-11-15 19:29:47
70,Rest,4,2,4,0.00,3.5900,0.00,0.00,0:00:59.000,2019-11-15 19:29:48
71,Rest,4,2,4,0.00,3.5900,0.00,0.00,0:01:00.000,2019-11-15 19:29:49
72,Rest,4,2,4,0.00,3.5900,0.00,0.00,0:01:01.000,2019-11-15 19:29:50
73,Rest,4,2,4,0.00,3.5900,0.00,0.00,0:01:02.000,2019-11-15 19:29:51
74,Rest,4,2,4,0.00,3.5900,0.00,0.00,0:01:03.000,2019-11-15 19:29:52
75,Rest,4,2,4,0.00,3.5900,0.00,0.00,0:01:04.000,2019-11-15 19:29:53
